이름,ID,입영 시간,입영 날짜,시간 데이터,날짜 데이터
강중위,1,6:56:31,2021.3.26,0.289247685,44281
강중위,1,6:58:49,2021.4.2,0.290844907,44288
강중위,1,6:49:44,2021.4.9,0.284537037,44295
강중위,1,6:53:02,2021.4.16,0.286828704,44302
강중위,1,6:59:46,2021.4.23,0.29150463,44309
강중위,1,6:52:12,2021.4.30,0.28625,44316
강중위,1,6:56:05,2021.5.7,0.288946759,44323
강중위,1,6:56:09,2021.5.14,0.288993056,44330
강중위,1,6:49:36,2021.5.21,0.284444444,44337
강중위,1,6:55:17,2021.5.28,0.288391204,44344
강중위,1,6:53:48,2021.6.4,0.287361111,44351
강중위,1,6:46:12,2021.6.11,0.282083333,44358
강중위,1,6:51:12,2021.6.18,0.285555556,44365
강중위,1,6:59:02,2021.6.25,0.29099537,44372
강중위,1,6:54:49,2021.7.2,0.28806713,44379
강중위,1,6:47:21,2021.7.9,0.282881944,44386
강중위,1,6:51:32,2021.7.16,0.285787037,44393
강중위,1,6:57:28,2021.7.23,0.289907407,44400
강중위,1,6:47:42,2021.7.30,0.283125,44407
강중위,1,6:53:00,2021.8.6,0.286805556,44414
강중위,1,6:57:17,2021.8.13,0.289780093,44421
강중위,1,6:59:55,2021.8.20,0.291608796,44428
강중위,1,6:45:42,2021.8.27,0.281736111,44435
강중위,1,6:47:59,2021.9.3,0.283321759,44442
강중위,1,6:49:26,2021.9.10,0.284328704,44449
강중위,1,6:50:14,2021.9.17,0.284884259,44456
강중위,1,6:49:42,2021.9.24,0.284513889,44463
강중위,1,6:57:31,2021.10.1,0.28994213,44470
강중위,1,6:51:23,2021.10.8,0.28568287,44477
강중위,1,6:57:34,2021.10.15,0.289976852,44484
강중위,1,6:53:05,2021.10.22,0.286863426,44491
강중위,1,6:48:00,2021.10.29,0.283333333,44498
강중위,1,6:54:00,2021.11.5,0.2875,44505
강중위,1,6:57:29,2021.11.12,0.289918981,44512
강중위,1,6:45:48,2021.11.19,0.281805556,44519
강중위,1,6:59:26,2021.11.26,0.291273148,44526
강중위,1,6:59:51,2021.12.3,0.2915625,44533
강중위,1,6:58:59,2021.12.10,0.290960648,44540
강중위,1,6:51:39,2021.12.17,0.285868056,44547
강중위,1,6:46:01,2021.12.24,0.281956019,44554
강중위,1,6:57:04,2021.12.31,0.28962963,44561
강중위,1,6:46:48,2022.1.7,0.2825,44568
강중위,1,6:51:19,2022.1.14,0.285636574,44575
강중위,1,6:49:32,2022.1.21,0.284398148,44582
강중위,1,6:56:08,2022.1.28,0.288981481,44589
강중위,1,6:47:12,2022.2.4,0.282777778,44596
강중위,1,6:47:43,2022.2.11,0.283136574,44603
강중위,1,6:54:20,2022.2.18,0.287731481,44610
강중위,1,6:48:51,2022.2.25,0.283923611,44617
