이름,ID,입영 시간,입영 날짜,시간 데이터,날짜 데이터
강중위,1,7:15:58,2021.3.22,0.30275463,44277
강중위,1,6:09:33,2021.3.29,0.256631944,44284
강중위,1,6:48:10,2021.4.5,0.283449074,44291
강중위,1,7:50:46,2021.4.12,0.326921296,44298
강중위,1,6:44:25,2021.4.19,0.280844907,44305
강중위,1,7:21:01,2021.4.26,0.306261574,44312
강중위,1,6:25:55,2021.5.3,0.267997685,44319
강중위,1,6:17:57,2021.5.10,0.262465278,44326
강중위,1,6:18:14,2021.5.17,0.262662037,44333
강중위,1,6:23:06,2021.5.24,0.266041667,44340
강중위,1,6:40:53,2021.5.31,0.278391204,44347
강중위,1,6:56:28,2021.6.7,0.289212963,44354
강중위,1,7:09:22,2021.6.14,0.298171296,44361
강중위,1,7:45:19,2021.6.21,0.323136574,44368
강중위,1,7:28:16,2021.6.28,0.311296296,44375
강중위,1,6:17:45,2021.7.5,0.262326389,44382
강중위,1,6:04:26,2021.7.12,0.253078704,44389
강중위,1,7:07:38,2021.7.19,0.296967593,44396
강중위,1,6:13:01,2021.7.26,0.259039352,44403
강중위,1,7:16:47,2021.8.2,0.303321759,44410
강중위,1,6:43:20,2021.8.9,0.280092593,44417
강중위,1,7:59:59,2021.8.16,0.333321759,44424
강중위,1,7:25:43,2021.8.23,0.309525463,44431
강중위,1,7:56:57,2021.8.30,0.331215278,44438
강중위,1,7:22:22,2021.9.6,0.307199074,44445
강중위,1,7:22:39,2021.9.13,0.307395833,44452
강중위,1,6:33:35,2021.9.20,0.273321759,44459
강중위,1,6:48:35,2021.9.27,0.283738426,44466
강중위,1,7:02:11,2021.10.4,0.29318287,44473
강중위,1,7:08:03,2021.10.11,0.297256944,44480
강중위,1,6:37:53,2021.10.18,0.27630787,44487
강중위,1,7:55:56,2021.10.25,0.330509259,44494
강중위,1,7:15:04,2021.11.1,0.30212963,44501
강중위,1,7:42:11,2021.11.8,0.320960648,44508
강중위,1,7:05:29,2021.11.15,0.295474537,44515
강중위,1,6:26:10,2021.11.22,0.268171296,44522
강중위,1,7:45:49,2021.11.29,0.323483796,44529
강중위,1,6:50:29,2021.12.6,0.28505787,44536
강중위,1,6:16:53,2021.12.13,0.261724537,44543
강중위,1,7:49:22,2021.12.20,0.325949074,44550
강중위,1,7:49:00,2021.12.27,0.325694444,44557
강중위,1,6:49:48,2022.1.3,0.284583333,44564
강중위,1,6:56:49,2022.1.10,0.289456019,44571
강중위,1,6:02:14,2022.1.17,0.251550926,44578
강중위,1,7:12:07,2022.1.24,0.300081019,44585
강중위,1,6:20:10,2022.1.31,0.26400463,44592
강중위,1,6:55:16,2022.2.7,0.28837963,44599
강중위,1,6:33:52,2022.2.14,0.273518519,44606
강중위,1,7:36:38,2022.2.21,0.317106481,44613
