이름,ID,입영 시간,입영 날짜,시간 데이터,날짜 데이터
강중위,1,6:59:36,2021.3.25,0.291388889,44280
강중위,1,6:54:50,2021.4.1,0.288078704,44287
강중위,1,6:51:57,2021.4.8,0.286076389,44294
강중위,1,6:58:56,2021.4.15,0.290925926,44301
강중위,1,6:56:00,2021.4.22,0.288888889,44308
강중위,1,6:50:15,2021.4.29,0.284895833,44315
강중위,1,6:52:14,2021.5.6,0.286273148,44322
강중위,1,6:50:22,2021.5.13,0.284976852,44329
강중위,1,6:57:10,2021.5.20,0.289699074,44336
강중위,1,6:50:22,2021.5.27,0.284976852,44343
강중위,1,6:52:14,2021.6.3,0.286273148,44350
강중위,1,6:56:19,2021.6.10,0.289108796,44357
강중위,1,6:59:56,2021.6.17,0.29162037,44364
강중위,1,6:57:45,2021.6.24,0.290104167,44371
강중위,1,6:51:26,2021.7.1,0.285717593,44378
강중위,1,6:56:53,2021.7.8,0.289502315,44385
강중위,1,6:58:04,2021.7.15,0.290324074,44392
강중위,1,6:57:36,2021.7.22,0.29,44399
강중위,1,6:57:32,2021.7.29,0.289953704,44406
강중위,1,6:53:02,2021.8.5,0.286828704,44413
강중위,1,6:51:12,2021.8.12,0.285555556,44420
강중위,1,6:56:55,2021.8.19,0.289525463,44427
강중위,1,6:55:07,2021.8.26,0.288275463,44434
강중위,1,6:52:23,2021.9.2,0.286377315,44441
강중위,1,6:51:04,2021.9.9,0.285462963,44448
강중위,1,6:51:21,2021.9.16,0.285659722,44455
강중위,1,6:57:49,2021.9.23,0.290150463,44462
강중위,1,6:51:45,2021.9.30,0.2859375,44469
강중위,1,6:56:41,2021.10.7,0.289363426,44476
강중위,1,6:54:00,2021.10.14,0.2875,44483
강중위,1,6:52:25,2021.10.21,0.286400463,44490
강중위,1,6:54:07,2021.10.28,0.287581019,44497
강중위,1,6:56:36,2021.11.4,0.289305556,44504
강중위,1,6:54:24,2021.11.11,0.287777778,44511
강중위,1,6:52:19,2021.11.18,0.286331019,44518
강중위,1,6:51:16,2021.11.25,0.285601852,44525
강중위,1,6:52:30,2021.12.2,0.286458333,44532
강중위,1,6:53:17,2021.12.9,0.287002315,44539
강중위,1,6:55:56,2021.12.16,0.288842593,44546
강중위,1,6:57:06,2021.12.23,0.289652778,44553
강중위,1,6:54:58,2021.12.30,0.288171296,44560
강중위,1,6:53:30,2022.1.6,0.287152778,44567
강중위,1,6:50:12,2022.1.13,0.284861111,44574
강중위,1,6:53:34,2022.1.20,0.287199074,44581
강중위,1,6:59:34,2022.1.27,0.291365741,44588
강중위,1,6:56:50,2022.2.3,0.289467593,44595
강중위,1,6:58:57,2022.2.10,0.2909375,44602
강중위,1,6:52:09,2022.2.17,0.286215278,44609
강중위,1,6:54:28,2022.2.24,0.287824074,44616
