이름,ID,입영 시간,입영 날짜,시간 데이터,날짜 데이터
강중위,1,18:37:51,2021.3.24,0.776284722,44279
강중위,1,18:36:08,2021.3.31,0.775092593,44286
강중위,1,18:35:28,2021.4.7,0.77462963,44293
강중위,1,18:36:02,2021.4.14,0.775023148,44300
강중위,1,18:33:13,2021.4.21,0.77306713,44307
강중위,1,18:41:14,2021.4.28,0.778634259,44314
강중위,1,18:52:17,2021.5.5,0.78630787,44321
강중위,1,18:23:18,2021.5.12,0.766180556,44328
강중위,1,18:53:14,2021.5.19,0.786967593,44335
강중위,1,18:24:05,2021.5.26,0.766724537,44342
강중위,1,18:40:10,2021.6.2,0.777893519,44349
강중위,1,18:23:01,2021.6.9,0.765983796,44356
강중위,1,18:35:44,2021.6.16,0.774814815,44363
강중위,1,18:32:45,2021.6.23,0.772743056,44370
강중위,1,18:48:14,2021.6.30,0.78349537,44377
강중위,1,18:43:07,2021.7.7,0.77994213,44384
강중위,1,18:23:36,2021.7.14,0.766388889,44391
강중위,1,18:46:58,2021.7.21,0.782615741,44398
강중위,1,18:43:34,2021.7.28,0.78025463,44405
강중위,1,18:46:42,2021.8.4,0.782430556,44412
강중위,1,18:52:33,2021.8.11,0.786493056,44419
강중위,1,18:44:11,2021.8.18,0.78068287,44426
강중위,1,18:47:04,2021.8.25,0.782685185,44433
강중위,1,18:30:17,2021.9.1,0.771030093,44440
강중위,1,18:54:06,2021.9.8,0.787569444,44447
강중위,1,18:39:07,2021.9.15,0.777164352,44454
강중위,1,18:50:21,2021.9.22,0.784965278,44461
강중위,1,18:25:10,2021.9.29,0.767476852,44468
강중위,1,18:38:00,2021.10.6,0.776388889,44475
강중위,1,18:59:15,2021.10.13,0.791145833,44482
강중위,1,18:39:16,2021.10.20,0.777268519,44489
강중위,1,18:50:27,2021.10.27,0.785034722,44496
강중위,1,18:56:35,2021.11.3,0.789293981,44503
강중위,1,18:24:24,2021.11.10,0.766944444,44510
강중위,1,18:55:26,2021.11.17,0.78849537,44517
강중위,1,18:33:33,2021.11.24,0.773298611,44524
강중위,1,18:22:22,2021.12.1,0.765532407,44531
강중위,1,18:23:25,2021.12.8,0.766261574,44538
강중위,1,18:39:39,2021.12.15,0.777534722,44545
강중위,1,18:49:21,2021.12.22,0.784270833,44552
강중위,1,18:24:27,2021.12.29,0.766979167,44559
강중위,1,18:55:49,2022.1.5,0.788761574,44566
강중위,1,18:59:00,2022.1.12,0.790972222,44573
강중위,1,18:22:29,2022.1.19,0.765613426,44580
강중위,1,18:48:56,2022.1.26,0.783981481,44587
강중위,1,18:42:49,2022.2.2,0.779733796,44594
강중위,1,18:25:35,2022.2.9,0.767766204,44601
강중위,1,18:52:49,2022.2.16,0.786678241,44608
강중위,1,18:42:03,2022.2.23,0.779201389,44615
