이름,ID,입영 시간,입영 날짜,시간 데이터,날짜 데이터
강중위,1,7:13:04,2021.3.24,0.300740741,44279
강중위,1,7:18:26,2021.3.31,0.304467593,44286
강중위,1,7:16:03,2021.4.7,0.3028125,44293
강중위,1,7:15:04,2021.4.14,0.30212963,44300
강중위,1,7:10:16,2021.4.21,0.298796296,44307
강중위,1,7:16:35,2021.4.28,0.30318287,44314
강중위,1,7:13:31,2021.5.5,0.301053241,44321
강중위,1,7:14:07,2021.5.12,0.301469907,44328
강중위,1,7:16:25,2021.5.19,0.30306713,44335
강중위,1,7:13:09,2021.5.26,0.300798611,44342
강중위,1,7:15:40,2021.6.2,0.302546296,44349
강중위,1,7:13:16,2021.6.9,0.30087963,44356
강중위,1,7:11:22,2021.6.16,0.299560185,44363
강중위,1,7:11:48,2021.6.23,0.299861111,44370
강중위,1,7:12:00,2021.6.30,0.3,44377
강중위,1,7:20:40,2021.7.7,0.306018519,44384
강중위,1,7:19:52,2021.7.14,0.305462963,44391
강중위,1,7:13:24,2021.7.21,0.300972222,44398
강중위,1,7:18:14,2021.7.28,0.304328704,44405
강중위,1,7:16:54,2021.8.4,0.303402778,44412
강중위,1,7:16:33,2021.8.11,0.303159722,44419
강중위,1,7:19:43,2021.8.18,0.305358796,44426
강중위,1,7:17:08,2021.8.25,0.303564815,44433
강중위,1,7:15:14,2021.9.1,0.30224537,44440
강중위,1,7:14:37,2021.9.8,0.30181713,44447
강중위,1,7:19:01,2021.9.15,0.304872685,44454
강중위,1,7:14:59,2021.9.22,0.302071759,44461
강중위,1,7:18:48,2021.9.29,0.304722222,44468
강중위,1,7:11:38,2021.10.6,0.29974537,44475
강중위,1,7:16:27,2021.10.13,0.303090278,44482
강중위,1,7:17:27,2021.10.20,0.303784722,44489
강중위,1,7:19:50,2021.10.27,0.305439815,44496
강중위,1,7:12:18,2021.11.3,0.300208333,44503
강중위,1,7:19:56,2021.11.10,0.305509259,44510
강중위,1,7:14:06,2021.11.17,0.301458333,44517
강중위,1,7:12:32,2021.11.24,0.30037037,44524
강중위,1,7:13:43,2021.12.1,0.30119213,44531
강중위,1,7:20:07,2021.12.8,0.305636574,44538
강중위,1,7:19:49,2021.12.15,0.305428241,44545
강중위,1,7:11:14,2021.12.22,0.299467593,44552
강중위,1,7:11:29,2021.12.29,0.299641204,44559
강중위,1,7:14:14,2022.1.5,0.301550926,44566
강중위,1,7:19:08,2022.1.12,0.304953704,44573
강중위,1,7:15:23,2022.1.19,0.302349537,44580
강중위,1,7:19:26,2022.1.26,0.305162037,44587
강중위,1,7:17:03,2022.2.2,0.303506944,44594
강중위,1,7:13:42,2022.2.9,0.301180556,44601
강중위,1,7:19:56,2022.2.16,0.305509259,44608
강중위,1,7:12:34,2022.2.23,0.300393519,44615
